timestamp,total_electricity_kwh,solar_generation_kwh,water_consumption_l,co2_emissions_kg,co2_saved_kg,temperature,is_weekend,sustainability_score
2025-11-05 01:32:27.475937,24.23,0.0,473,19.87,0.0,21.8,0,50.4
2025-11-05 02:32:27.475937,23.92,0.0,432,19.62,0.0,20.3,0,42.8
2025-11-05 03:32:27.475937,23.56,0.0,453,19.32,0.0,20.0,0,40.8
2025-11-05 04:32:27.475937,25.38,0.0,539,20.81,0.0,22.7,0,42.8
2025-11-05 05:32:27.475937,25.81,0.0,430,21.16,0.0,25.4,0,45.6
2025-11-05 06:32:27.475937,28.2,0.0,358,23.12,0.0,27.0,0,43.9
2025-11-05 07:32:27.475937,27.98,0.0,497,22.94,0.0,27.3,0,36.9
2025-11-05 08:32:27.475937,115.11,4.49,2655,94.39,3.68,25.4,0,27.4
2025-11-05 09:32:27.475937,122.4,8.09,2756,100.37,6.63,29.9,0,25.7
2025-11-05 10:32:27.475937,120.79,9.96,2979,99.04,8.17,28.7,0,23.3
2025-11-05 11:32:27.475937,121.47,12.59,2806,99.61,10.32,30.0,0,28.6
2025-11-05 12:32:27.475937,121.03,14.53,2850,99.25,11.91,28.5,0,34.2
2025-11-05 13:32:27.475937,124.65,12.5,3067,102.21,10.25,31.3,0,28.0
2025-11-05 14:32:27.475937,125.72,9.24,3401,103.09,7.58,32.7,0,29.6
2025-11-05 15:32:27.475937,121.38,8.15,3117,99.53,6.68,29.0,0,22.1
2025-11-05 16:32:27.475937,119.94,4.01,3154,98.35,3.29,27.9,0,22.2
2025-11-05 17:32:27.475937,120.31,0.0,3233,98.66,0.0,28.8,0,24.5
2025-11-05 18:32:27.475937,117.52,0.0,2752,96.37,0.0,26.7,0,27.5
2025-11-05 19:32:27.475937,26.36,0.0,550,21.62,0.0,25.5,0,38.5
2025-11-05 20:32:27.475937,24.98,0.0,445,20.49,0.0,24.7,0,44.9
2025-11-05 21:32:27.475937,24.83,0.0,483,20.36,0.0,24.2,0,48.3
2025-11-05 22:32:27.475937,24.96,0.0,505,20.46,0.0,22.9,0,45.6
2025-11-05 23:32:27.475937,24.68,0.0,459,20.24,0.0,21.7,0,43.8
2025-11-06 00:32:27.475937,23.29,0.0,433,19.1,0.0,19.7,0,39.4
2025-11-06 01:32:27.475937,22.36,0.0,632,18.33,0.0,21.0,0,43.7
2025-11-06 02:32:27.475937,23.07,0.0,534,18.92,0.0,23.2,0,45.2
2025-11-06 03:32:27.475937,25.27,0.0,535,20.72,0.0,23.3,0,43.7
2025-11-06 04:32:27.475937,24.81,0.0,458,20.34,0.0,24.2,0,40.8
2025-11-06 05:32:27.475937,27.53,0.0,438,22.58,0.0,25.9,0,48.0
2025-11-06 06:32:27.475937,28.26,0.0,501,23.17,0.0,27.1,0,47.9
2025-11-06 07:32:27.475937,26.88,0.0,531,22.05,0.0,26.5,0,42.6
2025-11-06 08:32:27.475937,120.81,4.02,2712,99.06,3.3,29.5,0,25.2
2025-11-06 09:32:27.475937,120.55,8.53,2725,98.85,6.99,29.1,0,26.5
2025-11-06 10:32:27.475937,120.28,9.9,2812,98.63,8.12,29.8,0,26.9
2025-11-06 11:32:27.475937,125.04,10.34,3041,102.53,8.48,31.6,0,27.0
2025-11-06 12:32:27.475937,123.3,13.61,3012,101.11,11.16,31.6,0,27.3
2025-11-06 13:32:27.475937,126.46,10.27,3085,103.7,8.42,33.5,0,26.6
2025-11-06 14:32:27.475937,123.29,9.13,2710,101.09,7.49,31.0,0,26.9
2025-11-06 15:32:27.475937,118.88,7.45,2447,97.48,6.11,29.2,0,24.6
2025-11-06 16:32:27.475937,123.15,3.45,3060,100.98,2.83,31.2,0,17.1
2025-11-06 17:32:27.475937,120.88,0.0,3220,99.12,0.0,28.3,0,18.5
2025-11-06 18:32:27.475937,116.55,0.0,3081,95.57,0.0,26.6,0,23.7
2025-11-06 19:32:27.475937,26.96,0.0,411,22.1,0.0,25.9,0,42.2
2025-11-06 20:32:27.475937,25.77,0.0,456,21.13,0.0,22.4,0,46.3
2025-11-06 21:32:27.475937,23.47,0.0,561,19.25,0.0,24.2,0,47.9
2025-11-06 22:32:27.475937,22.89,0.0,478,18.77,0.0,22.3,0,44.8
2025-11-06 23:32:27.475937,24.15,0.0,462,19.8,0.0,22.6,0,45.2
2025-11-07 00:32:27.475937,25.57,0.0,552,20.96,0.0,21.2,0,43.4
2025-11-07 01:32:27.475937,25.1,0.0,457,20.58,0.0,22.5,0,42.6
2025-11-07 02:32:27.475937,25.39,0.0,573,20.82,0.0,24.2,0,44.8
2025-11-07 03:32:27.475937,24.68,0.0,389,20.23,0.0,20.8,0,43.2
2025-11-07 04:32:27.475937,24.08,0.0,444,19.75,0.0,23.5,0,47.4
2025-11-07 05:32:27.475937,23.96,0.0,428,19.65,0.0,24.7,0,42.8
2025-11-07 06:32:27.475937,27.85,0.0,374,22.83,0.0,26.6,0,41.9
2025-11-07 07:32:27.475937,29.04,0.0,553,23.82,0.0,29.2,0,38.9
2025-11-07 08:32:27.475937,123.38,3.76,3136,101.17,3.08,30.1,0,19.3
2025-11-07 09:32:27.475937,125.53,8.06,3192,102.93,6.61,31.3,0,25.4
2025-11-07 10:32:27.475937,123.74,11.5,2523,101.47,9.43,31.0,0,30.5
2025-11-07 11:32:27.475937,123.1,12.1,2934,100.94,9.92,31.8,0,28.8
2025-11-07 12:32:27.475937,124.37,14.05,3441,101.99,11.52,32.6,0,27.0
2025-11-07 13:32:27.475937,123.91,11.17,3137,101.61,9.16,31.2,0,28.2
2025-11-07 14:32:27.475937,121.61,8.7,3313,99.72,7.13,30.2,0,25.7
2025-11-07 15:32:27.475937,118.84,6.48,3160,97.45,5.31,28.8,0,26.6
2025-11-07 16:32:27.475937,122.55,3.63,3247,100.49,2.98,30.0,0,21.6
2025-11-07 17:32:27.475937,116.96,0.0,2818,95.91,0.0,26.5,0,21.4
2025-11-07 18:32:27.475937,118.21,0.0,2082,96.94,0.0,27.8,0,21.1
2025-11-07 19:32:27.475937,27.43,0.0,524,22.49,0.0,27.4,0,50.0
2025-11-07 20:32:27.475937,25.49,0.0,628,20.9,0.0,21.7,0,42.2
2025-11-07 21:32:27.475937,25.24,0.0,399,20.69,0.0,22.1,0,50.4
2025-11-07 22:32:27.475937,23.95,0.0,368,19.64,0.0,23.7,0,43.0
2025-11-07 23:32:27.475937,22.66,0.0,500,18.58,0.0,21.9,0,44.0
2025-11-08 00:32:27.475937,21.73,0.0,734,17.82,0.0,22.3,1,45.8
2025-11-08 01:32:27.475937,22.14,0.0,801,18.16,0.0,22.6,1,39.2
2025-11-08 02:32:27.475937,21.74,0.0,850,17.82,0.0,22.2,1,41.7
2025-11-08 03:32:27.475937,23.92,0.0,727,19.62,0.0,25.8,1,44.8
2025-11-08 04:32:27.475937,24.13,0.0,836,19.79,0.0,24.9,1,44.6
2025-11-08 05:32:27.475937,21.19,0.0,938,17.38,0.0,24.1,1,45.3
2025-11-08 06:32:27.475937,24.72,0.0,783,20.27,0.0,25.5,1,41.2
2025-11-08 07:32:27.475937,26.73,0.0,806,21.92,0.0,27.5,1,35.3
2025-11-08 08:32:27.475937,32.02,3.95,946,26.26,3.24,30.5,1,58.2
2025-11-08 09:32:27.475937,29.72,8.7,982,24.37,7.13,30.0,1,72.0
2025-11-08 10:32:27.475937,33.33,10.37,804,27.33,8.5,31.2,1,68.7
2025-11-08 11:32:27.475937,33.61,12.09,765,27.56,9.91,32.2,1,71.8
2025-11-08 12:32:27.475937,32.93,12.46,686,27.0,10.22,32.1,1,79.6
2025-11-08 13:32:27.475937,33.2,10.07,855,27.22,8.26,32.3,1,71.2
2025-11-08 14:32:27.475937,29.11,10.73,987,23.87,8.8,29.4,1,76.8
2025-11-08 15:32:27.475937,31.13,7.34,915,25.53,6.02,30.5,1,61.9
2025-11-08 16:32:27.475937,28.92,4.54,924,23.72,3.72,29.1,1,58.5
2025-11-08 17:32:27.475937,28.96,0.0,841,23.74,0.0,28.9,1,44.3
2025-11-08 18:32:27.475937,28.35,0.0,720,23.24,0.0,27.8,1,40.1
2025-11-08 19:32:27.475937,25.91,0.0,711,21.25,0.0,27.2,1,42.2
2025-11-08 20:32:27.475937,24.87,0.0,1027,20.39,0.0,26.0,1,43.8
2025-11-08 21:32:27.475937,24.32,0.0,897,19.94,0.0,25.5,1,39.2
2025-11-08 22:32:27.475937,22.03,0.0,715,18.06,0.0,22.3,1,43.0
2025-11-08 23:32:27.475937,22.5,0.0,957,18.45,0.0,22.7,1,42.3
2025-11-09 00:32:27.475937,22.16,0.0,595,18.17,0.0,20.5,1,45.7
2025-11-09 01:32:27.475937,21.29,0.0,848,17.46,0.0,21.7,1,45.8
2025-11-09 02:32:27.475937,21.33,0.0,774,17.49,0.0,22.3,1,43.2
2025-11-09 03:32:27.475937,26.18,0.0,998,21.47,0.0,25.9,1,45.5
2025-11-09 04:32:27.475937,22.57,0.0,771,18.51,0.0,24.2,1,48.5
2025-11-09 05:32:27.475937,28.1,0.0,929,23.04,0.0,28.7,1,44.7
