timestamp,user_id,device_type,heart_rate_bpm,steps,spo2_pct,skin_temp_c,is_sleeping,calories_kcal,battery_pct
2026-02-19T01:18:38.272428,user_001,FitBand Pro,62.5,8,96.8,35.5,1,20.6,101
2026-02-19T01:48:38.272428,user_001,FitBand Pro,66.8,2,97.5,35.9,1,16.8,95
2026-02-19T02:34:38.272428,user_001,FitBand Pro,62.4,5,98.2,35.9,1,17.2,94
2026-02-19T03:50:38.272428,user_001,FitBand Pro,60.4,5,97.6,36.4,1,14.7,87
2026-02-19T04:38:38.272428,user_001,FitBand Pro,61.9,9,97.2,35.9,1,20.9,84
2026-02-19T06:15:38.272428,user_001,FitBand Pro,65.8,2,96.0,36.3,1,11.6,83
2026-02-19T06:33:38.272428,user_001,FitBand Pro,105.5,85,98.6,36.7,0,21.6,78
2026-02-19T08:16:38.272428,user_001,FitBand Pro,112.6,545,98.2,36.6,0,44.5,76
2026-02-19T08:29:38.272428,user_001,FitBand Pro,123.2,867,96.9,36.6,0,57.8,68
2026-02-19T09:59:38.272428,user_001,FitBand Pro,83.0,120,96.8,36.9,0,18.3,68
2026-02-19T10:34:38.272428,user_001,FitBand Pro,82.9,22,96.6,36.7,0,16.0,66
2026-02-19T12:08:38.272428,user_001,FitBand Pro,79.7,112,97.8,37.0,0,17.7,58
2026-02-19T13:11:38.272428,user_001,FitBand Pro,77.7,874,98.1,36.9,0,50.3,56
2026-02-19T13:35:38.272428,user_001,FitBand Pro,77.0,433,97.4,36.8,0,35.4,52
2026-02-19T15:05:38.272428,user_001,FitBand Pro,85.0,30,97.2,36.7,0,21.0,49
2026-02-19T15:27:38.272428,user_001,FitBand Pro,79.4,56,98.2,36.3,0,21.3,45
2026-02-19T16:42:38.272428,user_001,FitBand Pro,75.4,37,97.9,36.4,0,15.1,45
2026-02-19T18:00:38.272428,user_001,FitBand Pro,98.4,397,97.6,35.9,0,29.1,39
2026-02-19T19:14:38.272428,user_001,FitBand Pro,129.3,710,97.5,36.0,0,56.2,40
2026-02-19T20:08:38.272428,user_001,FitBand Pro,129.7,124,97.5,35.7,0,22.6,35
2026-02-19T20:54:38.272428,user_001,FitBand Pro,70.1,172,97.2,35.6,0,30.9,28
2026-02-19T22:16:38.272428,user_001,FitBand Pro,77.5,85,97.2,35.5,0,24.5,26
