timestamp,energy_kwh,bandwidth_mbps,footfall,aqi,aqi_category,event_attendance,is_weekend
2025-12-05 00:27:03.135504,22.75,163.8,178,56,Moderate,0,0
2025-12-05 01:27:03.135504,24.61,104.2,208,62,Moderate,0,0
2025-12-05 02:27:03.135504,27.28,120.1,204,32,Good,0,0
2025-12-05 03:27:03.135504,25.64,173.6,215,33,Good,0,0
2025-12-05 04:27:03.135504,25.72,122.6,188,38,Good,0,0
2025-12-05 05:27:03.135504,22.2,134.3,189,52,Moderate,0,0
2025-12-05 06:27:03.135504,22.74,139.0,200,44,Good,0,0
2025-12-05 07:27:03.135504,22.4,170.5,212,45,Good,0,0
2025-12-05 08:27:03.135504,66.05,130.2,3484,107,Unhealthy-SG,0,0
2025-12-05 09:27:03.135504,72.73,720.4,3615,82,Moderate,0,0
2025-12-05 10:27:03.135504,79.34,830.6,3680,89,Moderate,0,0
2025-12-05 11:27:03.135504,83.09,932.4,3970,75,Moderate,0,0
2025-12-05 12:27:03.135504,88.34,980.0,3511,81,Moderate,0,0
2025-12-05 13:27:03.135504,87.44,1026.2,3762,69,Moderate,0,0
2025-12-05 14:27:03.135504,90.14,1003.7,3925,77,Moderate,0,0
2025-12-05 15:27:03.135504,88.07,893.7,4560,72,Moderate,0,0
2025-12-05 16:27:03.135504,83.51,858.3,2736,86,Moderate,147,0
2025-12-05 17:27:03.135504,76.28,721.9,3401,93,Moderate,194,0
2025-12-05 18:27:03.135504,71.63,587.6,3040,100,Moderate,221,0
2025-12-05 19:27:03.135504,26.28,643.1,1530,97,Moderate,258,0
2025-12-05 20:27:03.135504,25.22,566.7,1567,69,Moderate,0,0
2025-12-05 21:27:03.135504,27.45,630.9,1561,41,Good,0,0
2025-12-05 22:27:03.135504,27.17,693.4,1540,50,Good,0,0
2025-12-05 23:27:03.135504,23.7,601.4,210,55,Moderate,0,0
2025-12-06 00:27:03.135504,18.38,240.7,102,57,Moderate,0,1
2025-12-06 01:27:03.135504,19.13,188.6,91,61,Moderate,0,1
2025-12-06 02:27:03.135504,19.27,199.9,84,40,Good,0,1
2025-12-06 03:27:03.135504,20.34,196.1,104,42,Good,0,1
2025-12-06 04:27:03.135504,22.14,196.9,110,55,Moderate,0,1
2025-12-06 05:27:03.135504,22.57,174.9,95,42,Good,0,1
2025-12-06 06:27:03.135504,31.89,220.9,88,51,Moderate,0,1
2025-12-06 07:27:03.135504,27.66,211.1,99,65,Moderate,0,1
2025-12-06 08:27:03.135504,30.84,194.7,101,87,Moderate,0,1
2025-12-06 09:27:03.135504,36.38,192.4,114,81,Moderate,0,1
2025-12-06 10:27:03.135504,43.3,195.7,499,89,Moderate,0,1
2025-12-06 11:27:03.135504,42.19,202.4,517,79,Moderate,0,1
2025-12-06 12:27:03.135504,40.33,225.1,551,74,Moderate,0,1
2025-12-06 13:27:03.135504,38.03,263.2,480,93,Moderate,0,1
2025-12-06 14:27:03.135504,34.33,150.2,521,74,Moderate,0,1
2025-12-06 15:27:03.135504,39.5,220.3,560,67,Moderate,0,1
2025-12-06 16:27:03.135504,36.4,205.4,493,80,Moderate,0,1
2025-12-06 17:27:03.135504,26.97,218.5,96,91,Moderate,0,1
2025-12-06 18:27:03.135504,27.54,204.4,87,102,Unhealthy-SG,224,1
2025-12-06 19:27:03.135504,24.39,231.7,100,101,Unhealthy-SG,268,1
2025-12-06 20:27:03.135504,15.79,175.1,97,62,Moderate,272,1
2025-12-06 21:27:03.135504,21.85,199.0,94,55,Moderate,194,1
2025-12-06 22:27:03.135504,22.88,144.2,91,64,Moderate,0,1
2025-12-06 23:27:03.135504,19.53,153.4,106,40,Good,0,1
2025-12-07 00:27:03.135504,19.61,230.1,95,51,Moderate,0,1
2025-12-07 01:27:03.135504,20.2,177.6,107,58,Moderate,0,1
2025-12-07 02:27:03.135504,19.85,137.8,99,45,Good,0,1
2025-12-07 03:27:03.135504,17.0,193.0,90,54,Moderate,0,1
2025-12-07 04:27:03.135504,19.63,273.2,98,43,Good,0,1
2025-12-07 05:27:03.135504,17.58,214.2,92,47,Good,0,1
2025-12-07 06:27:03.135504,34.28,182.3,96,36,Good,0,1
2025-12-07 07:27:03.135504,27.39,196.4,110,73,Moderate,0,1
2025-12-07 08:27:03.135504,31.03,171.1,90,78,Moderate,0,1
2025-12-07 09:27:03.135504,35.86,163.0,104,94,Moderate,0,1
2025-12-07 10:27:03.135504,38.51,162.6,463,95,Moderate,0,1
2025-12-07 11:27:03.135504,41.82,235.0,451,82,Moderate,0,1
2025-12-07 12:27:03.135504,39.95,183.3,488,80,Moderate,0,1
2025-12-07 13:27:03.135504,39.58,210.1,506,86,Moderate,0,1
2025-12-07 14:27:03.135504,40.37,240.5,536,82,Moderate,0,1
2025-12-07 15:27:03.135504,35.3,189.5,466,89,Moderate,0,1
2025-12-07 16:27:03.135504,32.61,216.9,469,86,Moderate,0,1
2025-12-07 17:27:03.135504,28.81,176.6,111,95,Moderate,0,1
2025-12-07 18:27:03.135504,27.99,267.0,99,86,Moderate,0,1
2025-12-07 19:27:03.135504,23.36,215.8,87,96,Moderate,0,1
2025-12-07 20:27:03.135504,23.61,239.4,99,57,Moderate,0,1
2025-12-07 21:27:03.135504,18.02,218.4,87,62,Moderate,0,1
2025-12-07 22:27:03.135504,21.09,194.1,91,53,Moderate,0,1
2025-12-07 23:27:03.135504,16.23,194.7,102,44,Good,0,1
2025-12-08 00:27:03.135504,19.42,174.0,230,46,Good,0,0
2025-12-08 01:27:03.135504,27.62,123.6,202,53,Moderate,0,0
2025-12-08 02:27:03.135504,26.44,107.3,198,45,Good,0,0
2025-12-08 03:27:03.135504,25.76,178.9,199,25,Good,0,0
2025-12-08 04:27:03.135504,23.09,179.8,196,53,Moderate,0,0
2025-12-08 05:27:03.135504,19.57,156.5,201,34,Good,0,0
2025-12-08 06:27:03.135504,24.93,175.3,196,64,Moderate,0,0
2025-12-08 07:27:03.135504,25.38,136.7,211,55,Moderate,0,0
2025-12-08 08:27:03.135504,68.29,166.2,3068,93,Moderate,0,0
2025-12-08 09:27:03.135504,78.04,766.0,3032,86,Moderate,0,0
2025-12-08 10:27:03.135504,86.08,815.3,3515,95,Moderate,0,0
2025-12-08 11:27:03.135504,85.36,951.1,3663,62,Moderate,0,0
2025-12-08 12:27:03.135504,85.47,1063.4,3958,72,Moderate,0,0
2025-12-08 13:27:03.135504,89.78,936.4,3910,89,Moderate,0,0
2025-12-08 14:27:03.135504,87.42,967.6,3639,81,Moderate,0,0
2025-12-08 15:27:03.135504,90.71,939.9,3556,67,Moderate,0,0
2025-12-08 16:27:03.135504,76.71,858.5,3443,80,Moderate,0,0
2025-12-08 17:27:03.135504,75.28,832.2,3787,102,Unhealthy-SG,0,0
2025-12-08 18:27:03.135504,72.42,621.1,3138,94,Moderate,0,0
2025-12-08 19:27:03.135504,20.53,590.6,1443,102,Unhealthy-SG,0,0
2025-12-08 20:27:03.135504,28.97,601.2,1634,67,Moderate,0,0
2025-12-08 21:27:03.135504,26.19,658.0,1594,63,Moderate,0,0
2025-12-08 22:27:03.135504,24.52,637.3,1586,51,Moderate,0,0
2025-12-08 23:27:03.135504,24.36,627.0,212,58,Moderate,0,0
2025-12-09 00:27:03.135504,23.38,159.7,175,46,Good,0,0
2025-12-09 01:27:03.135504,25.48,137.2,203,41,Good,0,0
2025-12-09 02:27:03.135504,23.29,126.8,176,50,Good,0,0
2025-12-09 03:27:03.135504,27.74,133.0,213,56,Moderate,0,0
2025-12-09 04:27:03.135504,30.49,158.9,202,47,Good,0,0
2025-12-09 05:27:03.135504,25.84,122.9,231,45,Good,0,0
2025-12-09 06:27:03.135504,23.78,145.7,178,64,Moderate,0,0
2025-12-09 07:27:03.135504,29.36,117.5,191,54,Moderate,0,0
2025-12-09 08:27:03.135504,72.82,161.4,3317,99,Moderate,0,0
2025-12-09 09:27:03.135504,78.8,761.6,3617,101,Unhealthy-SG,0,0
2025-12-09 10:27:03.135504,88.35,864.0,3511,109,Unhealthy-SG,0,0
2025-12-09 11:27:03.135504,82.04,915.7,3629,80,Moderate,0,0
2025-12-09 12:27:03.135504,86.49,1010.0,4057,85,Moderate,0,0
2025-12-09 13:27:03.135504,88.41,1086.2,3448,82,Moderate,0,0
2025-12-09 14:27:03.135504,89.96,1050.8,3923,84,Moderate,0,0
