timestamp,occupancy,is_weekend,temp_outside,energy_kwh,hour,day_of_week,date,cluster,cluster_label
2025-12-05 01:32:16.485070,1,0,19.9,10.06,1,4,2025-12-05,2,medium_usage
2025-12-05 02:32:16.485070,1,0,19.2,10.2,2,4,2025-12-05,2,medium_usage
2025-12-05 03:32:16.485070,1,0,24.1,10.1,3,4,2025-12-05,2,medium_usage
2025-12-05 04:32:16.485070,1,0,23.8,9.92,4,4,2025-12-05,2,medium_usage
2025-12-05 05:32:16.485070,2,0,27.4,9.84,5,4,2025-12-05,2,medium_usage
2025-12-05 06:32:16.485070,2,0,26.3,10.38,6,4,2025-12-05,2,medium_usage
2025-12-05 07:32:16.485070,17,0,26.9,15.9,7,4,2025-12-05,2,medium_usage
2025-12-05 08:32:16.485070,45,0,29.3,20.63,8,4,2025-12-05,2,medium_usage
2025-12-05 09:32:16.485070,34,0,28.6,18.84,9,4,2025-12-05,2,medium_usage
2025-12-05 10:32:16.485070,71,0,32.1,21.9,10,4,2025-12-05,2,medium_usage
2025-12-05 11:32:16.485070,49,0,32.4,22.77,11,4,2025-12-05,2,medium_usage
2025-12-05 12:32:16.485070,58,0,31.3,22.24,12,4,2025-12-05,2,medium_usage
2025-12-05 13:32:16.485070,66,0,32.9,23.77,13,4,2025-12-05,2,medium_usage
2025-12-05 14:32:16.485070,52,0,28.8,20.0,14,4,2025-12-05,2,medium_usage
2025-12-05 15:32:16.485070,54,0,30.3,20.94,15,4,2025-12-05,2,medium_usage
2025-12-05 16:32:16.485070,47,0,29.9,21.43,16,4,2025-12-05,2,medium_usage
2025-12-05 17:32:16.485070,43,0,26.6,19.0,17,4,2025-12-05,2,medium_usage
2025-12-05 18:32:16.485070,20,0,26.6,17.57,18,4,2025-12-05,2,medium_usage
2025-12-05 19:32:16.485070,18,0,26.1,15.69,19,4,2025-12-05,2,medium_usage
2025-12-05 20:32:16.485070,1,0,21.6,9.56,20,4,2025-12-05,2,medium_usage
2025-12-05 21:32:16.485070,2,0,24.4,9.58,21,4,2025-12-05,2,medium_usage
2025-12-05 22:32:16.485070,2,0,22.0,10.19,22,4,2025-12-05,2,medium_usage
2025-12-05 23:32:16.485070,2,0,21.8,10.04,23,4,2025-12-05,2,medium_usage
2025-12-06 00:32:16.485070,0,1,21.9,11.34,0,5,2025-12-06,1,low_usage
2025-12-06 01:32:16.485070,0,1,22.8,11.93,1,5,2025-12-06,1,low_usage
2025-12-06 02:32:16.485070,0,1,24.2,10.64,2,5,2025-12-06,1,low_usage
2025-12-06 03:32:16.485070,0,1,22.8,10.32,3,5,2025-12-06,1,low_usage
2025-12-06 04:32:16.485070,1,1,23.8,10.47,4,5,2025-12-06,1,low_usage
2025-12-06 05:32:16.485070,1,1,26.4,11.22,5,5,2025-12-06,1,low_usage
2025-12-06 06:32:16.485070,1,1,28.9,11.11,6,5,2025-12-06,1,low_usage
2025-12-06 07:32:16.485070,0,1,26.9,12.43,7,5,2025-12-06,1,low_usage
2025-12-06 08:32:16.485070,0,1,30.1,12.61,8,5,2025-12-06,1,low_usage
2025-12-06 09:32:16.485070,0,1,29.0,12.99,9,5,2025-12-06,1,low_usage
2025-12-06 10:32:16.485070,3,1,31.0,12.97,10,5,2025-12-06,1,low_usage
2025-12-06 11:32:16.485070,2,1,31.2,13.32,11,5,2025-12-06,1,low_usage
2025-12-06 12:32:16.485070,2,1,31.3,13.06,12,5,2025-12-06,1,low_usage
2025-12-06 13:32:16.485070,3,1,31.0,13.26,13,5,2025-12-06,1,low_usage
2025-12-06 14:32:16.485070,3,1,27.1,12.74,14,5,2025-12-06,1,low_usage
2025-12-06 15:32:16.485070,0,1,32.2,13.03,15,5,2025-12-06,1,low_usage
2025-12-06 16:32:16.485070,1,1,28.6,12.26,16,5,2025-12-06,1,low_usage
2025-12-06 17:32:16.485070,1,1,26.5,13.32,17,5,2025-12-06,1,low_usage
2025-12-06 18:32:16.485070,0,1,27.1,13.06,18,5,2025-12-06,1,low_usage
